ID,Tips,SKU,"GTIN, UPC, EAN, or ISBN",Vārds,Publicēts,Izcelts?,Redzamība katalogā,Īss apraksts,Apraksts,Akcijas cenas sākuma datums,Akcijas cenas beigu datums,Nodokļa status,Nodokļu likme.,Ir noliktavā?,Noliktavā,Zems krājumu apjoms,Atļaut atpkaļpasūtījumus?,Pārdot atsevišķi?,Svars (kg),Garums (cm),Platums (cm),Augstums (cm),Atļaut klientu atsauksmes?,Pirkuma piezīme,Akcijas cena,Parastā cena:,Kategorija,Birkas,Piegādes klase,Attēli,Lejupielādes limits,Lejupielādes derīguma termiņš,Vecāks,Grupētie produkti,Pārdoti dārgāk,Piepārdošanas,Ārēja Saite,Pogas teksts,Pozīcija,Swatches Attributes,Zīmoli,Atribūta 1 nosaukums,Atribūta 1 vērtība (-s),Atribūta 1 redzamība,Atribūta 1 ir globāls,Slug,Nospieduma paraugs
2541,simple,DRAFT,,Printer C20 Standard,0,0,visible,,"<p class=""font_8"">COLOP Printer C 20 Standart ir paštintējošs taisnstūra zīmogs (14 x 38 mm) ar vietu 4 rindām, ideāli piemērots adresēm un viegli pielāgojams individuālām vēlmēm.</p>\n<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>\n\n<a href=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c-20stand-stamp.webp""><img class=""alignnone size-medium wp-image-2593"" src=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c-20stand-stamp-300x111.webp"" alt="""" width=""300"" height=""111"" /></a>",,,taxable,,1,,,0,0,,,,,1,,,"12,61",Zīmogi,,,https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c20-stand.jpg,,,,,,,,,32,,,,,,,,
2543,simple,,,Printer C10 Standard,0,0,visible,,"<p class=""font_8"">COLOP Printer C 10 Standart ir plastmasas paštintējošais zīmogs - taisnstūra formāts - 10 x 27 mm ar 3 rindām, pietiekami lielas, lai iekļautu svarīgāko ziņu. Jūsu viegli pielāgojams individuālais teksta zīmogs.</p>\n<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>\n\n<a href=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c-10-stans-stamp.webp""><img class=""alignnone size-medium wp-image-2589"" src=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c-10-stans-stamp-300x112.webp"" alt="""" width=""300"" height=""112"" /></a>",,,taxable,,1,,,0,0,,,,,1,,,"11,96",Zīmogi,,,https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c10-stand.jpg,,,,,,,,,33,,,,,,,,
2544,simple,,,Printer Q 17 - square,1,0,visible,"<p class=""font_8"">COLOP Printer Q 17 ir paškrāsojošs kvadrātveida zīmogs ar nospieduma izmēru 17 x 17 mm, ideāli piemērots iniciāļiem, simboliem un mazām logo.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/Q17.webp""><img class=""alignnone wp-image-2587 size-full"" src=""/images/products/zimogi/Q17.webp"" alt=""Colop Printer Q17 automātiskā zīmoga nospieduma paraugs"" width=""201"" height=""202"" /></a>","<p class=""font_8"">COLOP Printer Q 17 ir paškrāsojošs kvadrātveida zīmogs ar nospieduma izmēru 17 x 17 mm, ideāli piemērots iniciāļiem, simboliem un mazām logo.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/Q17.webp""><img class=""alignnone wp-image-2587 size-full"" src=""/images/products/zimogi/Q17.webp"" alt=""Colop Printer Q17 automātiskā zīmoga nospieduma paraugs"" width=""201"" height=""202"" /></a>",,,taxable,,1,16,,0,0,,,,,1,,,10.06,Zīmogi,,,/images/products/zimogi/122121_black___colop-printer-q17-1.webp,,,,,,,,,14,,,,,,,colop-q-17-square,/images/products/zimogi/Q17.webp
2545,simple,,,Printer 44 - oval,1,0,visible,"<p class=""font_8"">COLOP Printer 44 Oval ir paškrāsojošs zīmogs ar ovālu nospiedumu izmēru 44 x 28 mm, ideāli piemērots pielāgotiem dizainiem un logotipiem.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/44OC-Photoroom.png""><img class=""alignnone wp-image-2566 size-medium"" src=""/images/products/zimogi/44OC-Photoroom.png"" alt=""Colop Printer 44 ovāla zīmoga nospieduma paraugs"" width=""300"" height=""191"" /></a>","<p class=""font_8"">COLOP Printer 44 Oval ir paškrāsojošs zīmogs ar ovālu nospiedumu izmēru 44 x 28 mm, ideāli piemērots pielāgotiem dizainiem un logotipiem.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/44OC-Photoroom.png""><img class=""alignnone wp-image-2566 size-medium"" src=""/images/products/zimogi/44OC-Photoroom.png"" alt=""Colop Printer 44 ovāla zīmoga nospieduma paraugs"" width=""300"" height=""191"" /></a>",,,taxable,,1,19,,0,0,,,,,1,,,18.85,Zīmogi,,,/images/products/zimogi/122211_black___colop-printer-oval-44-1.webp,,,,,,,,,2,,,,,,,colop-44-oval,/images/products/zimogi/44OC-Photoroom.png
2546,simple,,,Printer Q 30 - square,1,0,visible,"<p class=""font_8""><strong>COLOP Printer Q 30</strong> ir pievilcīgs kvadrātveida paškrāsojošs zīmogs ar nospieduma izmēru 30 x 30 mm, kas piedāvā vietu līdz 7 rindiņām pielāgotam tekstam.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/Q30-stam-1.webp""><img class=""alignnone wp-image-2571 size-medium"" src=""/images/products/zimogi/Q30-stam-1.webp"" alt=""Colop Printer Q30 zīmoga nospieduma paraugs"" width=""300"" height=""300"" /></a>","<p class=""font_8""><strong>COLOP Printer Q 30</strong> ir pievilcīgs kvadrātveida paškrāsojošs zīmogs ar nospieduma izmēru 30 x 30 mm, kas piedāvā vietu līdz 7 rindiņām pielāgotam tekstam.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/Q30-stam-1.webp""><img class=""alignnone wp-image-2571 size-medium"" src=""/images/products/zimogi/Q30-stam-1.webp"" alt=""Colop Printer Q30 zīmoga nospieduma paraugs"" width=""300"" height=""300"" /></a>",,,taxable,,1,30,,0,0,,,,,1,,,16.12,Zīmogi,,,/images/products/zimogi/Q30-squ-1.webp,,,,,,,,,16,,,,,,,colop-q-30-square,/images/products/zimogi/Q30-stam-1.webp
2547,simple,,,Printer R 45 - round,1,0,visible,"<p class=""font_8"">COLOP Printer R 45-round ir ideāls uzņēmuma zīmogs ar lielu apaļu teksta plāksni, nodrošinot pietiekami daudz vietas logotipam un līdz pat 9 pielāgojamām teksta rindām. Šis paštintējošais zīmogs veido 45 mm diametra nospiedumu, padarot to perfekti piemērotu uzņēmuma nosaukumiem, adresēm vai logotipiem.</p>
<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/round45-stamp.png""><img class=""alignnone wp-image-2573 size-medium"" src=""/images/products/zimogi/round45-stamp.png"" alt=""Colop Printer R45 apaļā zīmoga nospieduma paraugs"" width=""300"" height=""300"" /></a>","<p class=""font_8"">COLOP Printer R 45-round ir ideāls uzņēmuma zīmogs ar lielu apaļu teksta plāksni, nodrošinot pietiekami daudz vietas logotipam un līdz pat 9 pielāgojamām teksta rindām. Šis paštintējošais zīmogs veido 45 mm diametra nospiedumu, padarot to perfekti piemērotu uzņēmuma nosaukumiem, adresēm vai logotipiem.</p>
<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/round45-stamp.png""><img class=""alignnone wp-image-2573 size-medium"" src=""/images/products/zimogi/round45-stamp.png"" alt=""Colop Printer R45 apaļā zīmoga nospieduma paraugs"" width=""300"" height=""300"" /></a>",,,taxable,,1,19,,0,0,,,,,1,,,18.83,Zīmogi,,,/images/products/zimogi/122213_black___colop-printer-r45-1-1.webp,,,,,,,,,19,,,,,,,colop-r-45-round,/images/products/zimogi/round45-stamp.png
2548,simple,,,Printer C40 Standard,0,0,visible,,"<p class=""font_8"">COLOP Printer C 40 Standart ir pielāgojams adrešu zīmogs ar taisnstūra nospieduma laukumu 23 x 59 mm un vietu līdz 6 teksta rindām, ideāli piemērots pasta adresēm, e-pastam un tīmekļa vietnēm.</p>\n<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>\n\n<a href=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c40stan-stamp.webp""><img class=""alignnone size-medium wp-image-2575"" src=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c40stan-stamp-300x117.webp"" alt="""" width=""300"" height=""117"" /></a>",,,taxable,,1,,,0,0,,,,,1,,,"17,99",Zīmogi,,,https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c40standart.jpg,,,,,,,,,31,,,,,,,,
2549,simple,,,Printer C60 Standard,0,0,visible,,"<p class=""font_8"">COLOP Printer 60 Standart ir lielākais teksta zīmogs savā kategorijā, piedāvājot līdz pat 8 rindām vietas gandrīz jebkuram tekstam vai garām adresēm taisnstūra formāta teksta plāksnē 37 x 76 mm. Pieejams līdz 8 dažādām versijām. Lielais attēla logs var tikt viegli pielāgots.</p>\n<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>\n\n<a href=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c60standart-stamp.webp""><img class=""alignnone size-medium wp-image-2579"" src=""https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c60standart-stamp-300x146.webp"" alt="""" width=""300"" height=""146"" /></a>\n\n&nbsp;",,,taxable,,1,,,0,0,,,,,1,,,"24,2",Zīmogi,,,https://www.laiksdrukat.lv/wp-content/uploads/2026/02/c60-standart.webp,,,,,,,,,55,,,,,,,,
2551,simple,,,Printer R 24 - round,1,0,visible,"<p class=""font_8"">COLOP Printer R 24-round ir būtisks apaļais zīmogs ar 24 mm diametru, ideāli piemērots oficiāliem zīmogiem, notāru zīmogiem, biedrībām un vispārējai biznesa lietošanai.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/R24-stamp.png""><img class=""alignnone wp-image-2583 "" src=""/images/products/zimogi/R24-stamp.png"" alt=""Colop Printer R24 apaļā zīmoga nospieduma paraugs"" width=""167"" height=""167"" /></a>","<p class=""font_8"">COLOP Printer R 24-round ir būtisks apaļais zīmogs ar 24 mm diametru, ideāli piemērots oficiāliem zīmogiem, notāru zīmogiem, biedrībām un vispārējai biznesa lietošanai.</p>
 

<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/R24-stamp.png""><img class=""alignnone wp-image-2583 "" src=""/images/products/zimogi/R24-stamp.png"" alt=""Colop Printer R24 apaļā zīmoga nospieduma paraugs"" width=""167"" height=""167"" /></a>",,,taxable,,1,16,,0,0,,,,,1,,,13.22,Zīmogi,,,/images/products/zimogi/R24-1.webp,,,,,,,,,23,,,,,,,colop-r-24-round,/images/products/zimogi/R24-stamp.png
2555,simple,,,Printer R 40 - round,1,1,visible,"<p class=""font_8"">COLOP Printer R 40-round 40 mm diametrs nodrošina pietiekami daudz vietas informatīviem un pievilcīgiem nospiedumiem, kas ir ideāli piemēroti logotipu, simbolu un teksta apvienošanai.</p>
<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/R40-Photoroom.png""><img class=""alignnone wp-image-2563 size-medium"" src=""/images/products/zimogi/R40-Photoroom.png"" alt=""Colop Printer R40 zīmoga nospieduma piemērs "" width=""300"" height=""300"" /></a>","<p class=""font_8"">COLOP Printer R 40-round 40 mm diametrs nodrošina pietiekami daudz vietas informatīviem un pievilcīgiem nospiedumiem, kas ir ideāli piemēroti logotipu, simbolu un teksta apvienošanai.</p>
<strong data-start=""123"" data-end=""137"">Nospieduma paraugs</strong>

<a href=""/images/products/zimogi/R40-Photoroom.png""><img class=""alignnone wp-image-2563 size-medium"" src=""/images/products/zimogi/R40-Photoroom.png"" alt=""Colop Printer R40 zīmoga nospieduma piemērs "" width=""300"" height=""300"" /></a>",,,taxable,,1,19,,0,0,,,,,1,,,18.75,Zīmogi,,,/images/products/zimogi/R40-1.webp,,,,,,,,,21,,,,,,,colop-r-40-round,/images/products/zimogi/R40-Photoroom.png
